grp,map_order,day,q1,q2,q3,q4,q5,q6,q7,variant,diary_map_order,updated_at,variant_roster,tester
A,mist_first,5,"- 새로 추가된 퀘스트들을 했음
- 요리를 함
- 숲에서 채집을 함",-,3,봤어요 · 채집물을 space바로 눌러서 채집하세요 (라고 뜬 것 같습니다),,,"배경음악을 차분하게 바꿔주셨으면 좋겠습니다.
밭에 식물을 심고 물을 안주면 빠른 시간 내에 시들어버리는것보다 성장을 하지 않는 쪽으로 패널티를 주는 게 더 좋을 거 같단 생각이 들어요
업데이트된 캐릭터가 귀여워요!",beta_A,mist_first,2026-09-13 14:17:11.231000+00:00,beta_A,T02
A,mist_first,7,"집 증축 끝까지 함
광질 엄청 함
퀘스트를 이것저것 깸
박물관에 들어가봄","집을 끝까지 증축하는 조건이 넘 쉬워서 한번에 다 해버리게 됐어요
뭔가 동물의 숲처럼 증축하는데 좀 힘들었으면 좋겠다는 생각",2,모르겠어요,요리,B,"- 부엉이가 너무 빈번하게 날아다녀요 심지어 너무 빠름
- 텍스트가 너무 많아요. 물 주기나 씨앗 심기 이런건 그냥 아이콘 하나로 대체하면 될 듯.
- 심지어 그 텍스트에서 AI 문체인게 티가 많이 나서 글이 잘 안읽혀요
- 단축기 설정 추가해주세요 q=퀘스트 b=가방 m=미니맵 확대 이정도만 있어도 엄청 편해질거같아요
- 우클릭으로 드래그하면 화면 돌아가게 해주세요. 고정되어있으니까 넘 답답해요
- 반딧불이 잡을 때 처음에 나오는 화면 전환 효과 빼고 이펙트를 더 강하게 넣어서 잡았다는것을 확실히 알 수 있도록 해주세요",beta_A,mist_first,2026-09-15 04:33:19.217000+00:00,beta_A,T02
A,sea_first,1,일단 구글계정으로 듀토리얼을 진행하다 실수로 건너뛰기를 눌렀는데 다시 실행하는 버튼이 없어 게스트로 들어가서 다시 듀토리얼을 진행하고 게임에 대한 기본적인 내용을 숙지했어요 일지를 제출하고 좀 더 해보고 취침할 생각입니다(작물을 수확해서 집을 좀 더 꾸며볼 예정),"캡쳐가 안올라가져서 글로 작성하자면
듀토리얼 진행하던중
12. 작업대의 조각 탭에서 오늘의 주문을 시작해보세요 - 모은 목재•캔 돌이 재료! (Space(또는 클릭) 이 부분이 막혔습니다 그 이유가
11번이 광산에서 광물을 캐고 있었는데 12번으로 넘어가면 작업대가 광산에 있는줄알고 여기저기 찾다가 어딨는지 몰라서 좀 찾는데 시간이 좀 걸렸어요
메뉴에 있다 살펴보다가 맵을 클릭하니까 작업대가 표시되어 있어 찾을 수 있었어요
3번의 답변: 일단 아직까지 초반이라 안해본 컨텐츠가 있어 계속해서 할 것 같습니다",5,못 봤어요 · 못 봤습니다...,,,,beta_A,sea_first,2026-09-09 14:37:08.502000+00:00,beta_A,T03
A,sea_first,2,"집을 좀 꾸며봤어요 (외부, 내부)
낚시 퀘스트로 희귀한 물고기를 잡아봤어요
광물을 캐며 돌을 좀 모았어요
요리 퀘스트를 하여 카페에 서빙을 해봤어요
곤충 채집을 해봤어요
내일은 집 확장, 배를 타볼 생각입니다","피드백:
집 꾸미기 요소가 다양했으면 좋겠어요 오늘의집 어플에 있는 가구들을 참고해서 추가해보면 좋을 것 같아요
화장실이나 주방 같은 다른 방이 있었으면 좋겠어요 (다른 방은 집을 더 넓히면 생기나요?)
안개 제거하고 싶은데 5일차까지 기다려야하는게 좀 긴 것 같아요(혹시 게임기준 5일차인가요? 그럼 괜찮을수도)",4,모르겠어요,,,,beta_A,sea_first,2026-09-10 14:06:30.647000+00:00,beta_A,T03
A,sea_first,4,"오늘 미션 다 깨고 올빼미 의뢰도 다 완료하고 집 내부를 좀 더 꾸며봤습니다
그리고 텃밭이 생겼길래 거기로 가서 농작물을 좀 수확하고 나루터로 가서 배 타는 것도 해봤습니다",미션을 계속 하다보면 어느새 미션이 없어지는데 그때는 할수있는 범위가 크지 않는 것 같아요 연속 2일차에 동물 키우기가 가능한건 좋은 것 같아요,3,못 봤어요,,,"1. 피드백으로 작물 키울때 스페이스바를 누르면 자동으로 숫자가 변경되어 액션이 가능하게 바꾸신 것 같아요 자동으로 바뀌는건 좋은데 작물이 너무 빨리 자라서 뭔가 쉽게 아이템을 얻는? 느낌인 것 같아요 그리고 한눈팔면 작물이 바로 시들어버리는…약간 시간 간격을 뒀으면 좋겠어요!
2. 마인크래프트처럼 집에서 침대에 자는 기능이 있으면 좋겠어요 자고나면 아침으로!
3. 올빼미 의뢰랑 미션들 깨다보면 미션이 없어지는 지점이 있는데 그때는 뭘 해야할지 모르겠어요 집을 외관을 더 꾸미고 싶지만 레벨 한계가 있어서!",beta_A,sea_first,2026-09-12 05:04:50.372000+00:00,beta_A,T03
A,sea_first,1,2장까지 했습니다.,튜토리얼 꾸미기에서 막혔습니다.,3,못 봤어요,,,"pc기준

렉이 걸린다.
문의하기와 오른쪽 동그라미가 겹쳐있고 화면에 떠 있는 조이스틱이나 오른쪽 상호작용이 안 눌러진다
맵이 눌러서 안 보인다.
왼쪽 위에 작대기3개를 누른 후 이모트를 누르니까 이모트가 겹쳐서 잘 안 보인다.
왼쪽 위에 작대기3개를 눌러 둘 시 맵이 안 보이고, 집이 어딘지도 모르겠다.
사진을 내가 마음대로 찍을 수 없다. + 어디에 저장되는지도 모르게 금방 꺼진다.
오른쪽 위에 시간을 조정하는게 필요한가 싶다. (아직 많이 안 해봐서 모를 수도 있음.)
주민 의뢰가 중복으로 받을 수가 없다.
의뢰를 어디로 가서 해결해야 하는지 화살표 가이드가 없다.



튜토리얼이 너무 불친절하다.
튜토리얼1번 튜토리얼에 하단 왼쪽 위 가방 버튼이라는데 오른쪽 위에있다.
튜토리얼2번 그리고 가방을 눌러도 농사 야외도구, 맨손 세트가 번갈아 나오지 않는다. -> 아래 바에 있는 거를 눌러야 넘어가진다.
튜토리얼3번 동그란 버튼을 눌르라는데 pc기준 스페이스를 누르거나 마우스를 클릭해야한다.
튜토리얼4번 호숫가가 어딘지 아예 모르겠다. 위치를 화살표로 알려주면 좋겠다. (낚시를 성공했을 때 확대되는 화면이 너무 부담스럽고, 뭘 낚았는지 잘 안 보인다.) + 맵이 어디에 뭐가 있는지 모르겠다.
튜토리얼5번 도끼를 이용해 나무10개를 캐라고 먼저 말을 하던지 아니면 튜토리얼0번에서 나무를 10개 캐라고 말을 해야할 것 같다.
튜토리얼6번 이후에 갑자기 1번으로 넘어간다. 그리고 마우스 우클릭 누르면 추가 옵션 표시가 떠서 불편하다. + 작물이 없는데 갑자기 꾸미라고 한다. 마우스 우클릭이 아니라 좌클릭이었다.
튜토리얼 1번 집 외관 꾸미기를 어떻게 할지를 모르겠어서 건너뛰기를 했는데 왼쪽에 2장 숲의 이웃들 주민 의뢰 3번 도와주기가 떴다. 마찬가지로 작대기3개를 누르면 화면이 겹친다.

나는 튜토리얼을 집 외관 꾸미기만 스킵하고 싶었는데, 다 스킵되어버렸다. 초보자 안내서는 너무 글이라서 읽기가 싫었고, 직접 플레이를 다시 안내해주는 것도 있었으면 좋겠다.

튜토리얼에 농사 짓는 법을 안 알려준다.",beta_A,sea_first,2026-09-09 04:04:02.297000+00:00,beta_A,T04
A,sea_first,2,"농사, 낚시, 퀘스트 깨기",재밌었습니다.,3,못 봤어요,,,"출석2일차 문구가 가독성이 너무 떨어진다. 한줄씩 보여주는게 나을 것 같다.
의뢰 올빼미가 자꾸 날라다님
낚싯대에 제한이 없다
수확을 빨리 하고 싶은데 할때마다 확대돼서 불편하다
집 외관 꾸미기를 누르면 나타나는 창이 집을 가려서 어떻게 변하는지 안 보인다.
여전히 왼쪽 위에 이모트 옆에 설정을 누르면 맵이랑 가려지고,
이모트도 겹쳐지고, 사진이 자기 맘대로 찍힌다.
확대가 되는게 멀미가 살짝 난다.
내 텃밭이 굳이 있는 이유를 모르겠다. 밖에서 농사를 못 짓게 하거나 내 텃밭을 더 키울 수 있게 하거나 하면 좋겠다.
사진이 자꾸 뒷 모습만 찍는다.
사진을 찍는데 왜 자꾸 한바귀씩 도는건지 모르겠다.
테이블 색깔과 바닥 색깔이 똑같아서 눈 아프다.
책장에 책이 안 보인다.
집을 보는걸 비스듬하게 보는게 아니라 하늘위에서 똑바로 바라보는건 어떨까요?
집에 들어와서 맵을 열어보면 집 맵이 보이는게 아니라 마을 모습이 보인다.",beta_A,sea_first,2026-09-10 01:38:11.544000+00:00,beta_A,T04
A,sea_first,3,"일일 퀘스트 및, 파밍, 꾸미기",일일 퀘스트가 마무리 된 후,3,못 봤어요 · 한 번도 뜬 적이 없는 것 같아요.,,,"광산에 들어가면 오른쪽 위에 광물만 나오게 해주면 좋겠다. 그리고 도구도 자동으로 괭이로 바꿔줬으면 좋겠다.
농작물이 너무 빨리 자라고, 빨리 시든다.
울타리 설치를 하려 하는데, 회전이 어떻게 되는지를 모르겠다. 회전이 안 되는 것 같다.
컨텐츠가 부족하다. 일일퀘스트를 조금 더 많이 만들어주거나, 꾸미기를 더 넣어줬으면 좋겠다.",beta_A,sea_first,2026-09-11 01:20:14.738000+00:00,beta_A,T04
A,sea_first,4,"마을 돌아다니고, 부엉이 퀘스트3번하기.","더 이상 퀘스트가 없습니다.
퀘스트를 하는게 재밌는데 퀘스트가 없으니 할 게 없어집니다.",3,못 봤어요,,,"이모트를 누르면 맵 대신에 이모트가 생기는데 pc기준 여전히 겹치는 부분이 있다.
사진을 누르면 렉이 걸리고, 여전히 자동으로 찍어준다.
설정을 누르면 맵과 퀘스트가 뒤에 보이는게 불편하다.
pc 기준 wasd와 마우스, 스페이스만 쓰는데 추가로 단축키 (Ex) 맵 단축키 = B) 이런것 좀 더 추가했으면 좋겠다.
그리고 PC에서는 화면에 떠 있는 조이스틱과 오른쪽 상호작용이 아무 의미가 없는데 WASD나 마우스 클릭을 하면 같이 반응되게 하거나 없애거나, 마우스로 누르면 작동되게 해줬으면 좋겠다. 지금은 차라리 없는게 더 깔끔할 것 같다.
올빼미가 너무 자주 공중에 떠서 화가 난다.
올빼미 밑에 플레이어가 있으면 올빼미가 한 번 공중에 뜬다.
반딧불이는 좋은데, 조명이나 형광등이 밤에 너무 쨍하다.
일일 퀘스트가 없어서 할 일이 없다.
집 외관 꾸미기와 집에 들어가기 상태바가 중복이 되어있어서 보기 불편하다.
꽃밭, 디딤돌 등 꾸미기 아이템 설치가 너무 불편하다. 중복이 안 되게 하던가, 설치가 어떻게 되는지를 보여주던가,
설치도 들자마자 해야되고, 불편하다.
집이 외형은 막 옥상도 있는데, 실제로는 1층밖에 이동을 못한다.
피아노도 칠 수 있게 했으면 좋겠다.
맵이 마을 중앙에 너무 겹쳐있어서 이동하기 불편하고, 마을 외곽쪽이 너무 텅 비어있다.
등에 도끼가 어색하게 붙어있다.
장식이 맘에 안 들면 다시 팔 수 있게도 해 줬으면 좋겠다.",beta_A,sea_first,2026-09-12 10:00:04.216000+00:00,beta_A,T04
A,sea_first,5,일일퀘스트 했습니다.,오늘은 일일퀘스트가 많아서 할 게 조금 있었습니다.,3,못 봤어요,,,"퀘스트를 여러개를 받지 못해서 불편하고, 
밤에만 받을 수 있는 퀘스트가 있어서 그거는 밤에만 나올 수 있게 했으면 좋겠다.
4장 이후에 아무런 퀘스트가 없어졌다.
4장 퀘스트의 리듬게임의 리듬이 안 들린다.",beta_A,sea_first,2026-09-13 12:45:59.444000+00:00,beta_A,T04
A,sea_first,6,"일일퀘스트, 새로 만들어진 부분 탐방","일일 퀘스트가 중복되고, 끝난 지점",2,못 봤어요,,,"전체적으로 많이 개선 된 것 같지만,
5장이 끝나고 나서의 목표를 잃어버렸다. 
집을 짓는 거 말고는 더 이상 꾸밀것도 없고, 집을 더 건축한다 해도 집이 높아지기만 할 뿐, 내부는 그대로다.
NPC가 나는 더 이상 대화하고 싶지 않고, 물건을 옮기고 싶은데 계속 앞에서 대화하다.로 신경 쓰이게 해서 불편하다.
사공오리가 낚시 퀘스트를 주는데 그러면 호수 앞에 배치하는게 나을 것 같고, 마을 중앙이 너무 복잡하다. 특히 부엉이가 자꾸 날라다녀서 신경 쓰인다.",beta_A,sea_first,2026-09-14 01:22:52.113000+00:00,beta_A,T04
A,sea_first,7,일일 퀘스트 및 버그 확인.,"지루한 부분은 없었지만, 퀘스트 후에 공허합니다.",3,못 봤어요,요리,B,"작업대에서 도구였다가 야외, 선물, 조각 누르면 크기가 달라지는게 불편합니다.
자동수확하는 펫이 생겨도 괜찮을 것 같습니다.
대신 내가 직접하는것보다 일은 좀 느리게 하는걸로 했으면 좋겠습니다.
퀘스트를 받은 후 다른 퀘스트를 받고 나서 다른 퀘스트를 완료하면 기존 퀘스트가 안 보이는 버그가 있ㅅ브니다.
퀘스트가 있는 npc는 맵에 표시하거나 어디서 볼 수 있게 해줬으면 좋겠습니다.",beta_A,sea_first,2026-09-15 01:46:01.017000+00:00,beta_A,T04
A,sea_first,1,튜토리얼 3장까지 클리어하고 맵 여기저기 돌아다니면서 뭐 할 수 있나 봤습니다. 나룻배 타기랑 채굴장 들어가기 해봤습니다.,"1. 아마도 비가 오면 밭에 물을 안 줘도 되는 것 같습니다. 튜토리얼에서는 물주기 과정이 있는데 '흙이 이미 촉촉하다'며 물주기가 되지 않아 당황했습니다. 건너뛰기 했습니다.
2. 4장 '잎사귀의 주인' 튜토리얼이 뭘 하라는 건지 알 수 없어 조금 당황스러웠습니다. '정화'하라기에 가보니 '5일차에 열립니다'라고 떠서 그냥 5일차까지 기다리라는 말인가 아님 다른 걸 하라는 말인가 헷갈렸습니다.",2,모르겠어요,,,"1. 이동 중 우클릭하면 우클릭을 해제해도 그 방향으로 계속 걷는 버그가 있습니다.
2. 채집, 낚시 성공 후 클로즈업될 때 이동키 입력하면 움직여지는 게 의도된 건가요?",beta_A,sea_first,2026-09-10 07:16:53.104000+00:00,beta_A,T05
A,sea_first,2,남아있는 모든 주민 의뢰 클리어했습니다.,"특별히 막히지는 않았는데, 낚시 퀘스트 중 무지개 물고기 낚기를 좀 더 빨리 하려고 미끼를 구매하러 방랑 상인에게 갔더니 '덕분에 마을이 살아났어요!'라고 말만 하고 거래를 안 하더라구요. 그냥 노가다로 깼습니다.",2,못 봤어요,,,"요리가 조금 어렵습니다. 너무 빨라요... ㅎㅎ;
조작 편의성이 굉장히 좋습니다. 그 덕분에 멍하게 방향키 + 스페이스바 연타만 하게 되는 감이 있습니다. 의도된 건지 아닌지 모르겠는데, 이게 오히려 셀링 포인트일 수도 있겠습니다.",beta_A,sea_first,2026-09-11 07:38:10.313000+00:00,beta_A,T05
A,sea_first,5,새로 나온 퀘스트 깨고 안개 숲 열고 내 텃밭 들어가서 가꿔봤습니다,집 증축 때문에 돌이 많이 필요했는데 채굴장 내부가 잘 안 보이고 돌 리스폰도 적어서 조금 불편했습니다.,3,못 봤어요,,,"씨앗 심기, 물 주기 같은 게 자동으로 작동하는 게 편리한 점도 있긴 한데 텃밭 만들 때 조금 불편합니다. 괭이로 땅을 갈려고 하면 바로 옆에 있는 타일이 이미 갈아져 있으니까 땅은 안 갈고 거기에 씨앗을 심어버려요...",beta_A,sea_first,2026-09-14 01:50:05.567000+00:00,beta_A,T05
A,sea_first,6,마지막 단계까지 집 증축하고 퀘스트 깼습니다.,특별히 막힌 부분은 없었습니다.,3,못 봤어요,요리,A,"1. 상점 '사기' 탭을 포함한 몇몇 대화상자가 너무 커서 화면 밖으로 나갑니다.  익스플로러 기능으로 줌을 땡기거나 하면 화면 안에 들어오게 만들 수 있긴 한데, 스크롤바 등으로 확인할 수 있게 만드는 게 좋을 것 같아요.
2. 박물관 출입 방식이 조금 이상합니다. 1) 2층 출입구 그래픽이 없어서 오른쪽 상단 구석으로 가서 스페이스바를 연타해야 하는 게 불편합니다 2) 2층에서 1층을 거치지 않고 밖으로 바로 나갈 수 있는 게 편리하긴 하지만 좀 어색합니다.",beta_A,sea_first,2026-09-15 06:05:11.795000+00:00,beta_A,T05
B,sea_first,1,튜토리얼 ! 집 짓고 광물 캐고 낚시 하고 작물 캤어여,일단 튜토리얼 하는데 안개낀거처럼 어둡고 뿌얘서 집터나 호숫가 찾기가 힘들었어요 그리고 작물 캘때마다 클로즈업돼서 어지러웠어요 아 그리구 상인 아저씨? 가 일반 npc랑 너무 비슷하게 생겨서 알아보기가 힘들어요,1,못 봤어요,,,"튜토리얼에서 도감 우측 상단에 있는데 하단에 있다고 해요
좀 밝았으면 좋겠어요 잘 안보여요",beta_B,sea_first,2026-09-09 02:29:29.043000+00:00,beta_B,T06
B,sea_first,2,닭장 만들었서요~! 보트게임도 햇어요 낚시도 하고,주민 퀘스트를 다해서 할게 읎어요,3,"봤어요 · 반딧불이 잡으려면 밤에 오래요 산딸기, 도토리 같은 거 주우래서 주웠어요",,,보트 게임할 때 연꽃이나 나무같은거 먹는건데 돌덩어리처럼 생겨서 어제는 다피해다녓어요 장애물인줄,beta_B,sea_first,2026-09-10 05:57:40.817000+00:00,beta_B,T06
B,sea_first,3,"새로 생긴 올빼미 퀘스트 , 카페에서 서빙하기, 작물 키우기, 낚시, 채광, 보트타기",할게 없어서 지루했는데 껐다 켜니까 밤손님 다녀왔다는 창도 뜨고 잘 못봤는데 농부아저씨도 뭐어쩌구 말해서 재밌었어요,2,모르겠어요,,,보트 게임ㅎ ㅏ는데 그 뱃머리등불 단게 더 안보여요 등불이 앞에 바위 장애물을 가려서 ㅜㅜ,beta_B,sea_first,2026-09-11 08:52:23.303000+00:00,beta_B,T06
B,sea_first,5,"새로 생긴 퀘스트 다 깨기, 캐릭터 바꾸기, 안개낀숲 정화",펜트하우스 장식 다 구매했는데 문 앞에 썬배드가 놓여져있어서 잘 안들어가져용,2,모르겠어요,,,밤에 병아리 정수리가 빛나요 귀여워요,beta_B,sea_first,2026-09-13 07:10:13.051000+00:00,beta_B,T06
B,sea_first,6,밭 넓히고 직원 고용했어요 박물관 구경도 했어요,밭 넓힐라했는데 자꾸 괭이에서 씨앗으로 바껴서 포기했어요ㅜㅜ,3,모르겠어요,,,직원 고용하긴 했는데 창고에 작물이 쌓이는건가요? 창고에서 스페이스바 누르면 옮기기밖에 안돼서 잘 쌓이고 있는건지 모르겠어요,beta_B,sea_first,2026-09-14 01:26:11.693000+00:00,beta_B,T06
B,sea_first,7,"퀘스트, 보트타기, 텃밭",포도는 어떻게 심나요,2,모르겠어요,마을,B,,beta_B,sea_first,2026-09-15 05:19:18.267000+00:00,beta_B,T06
B,mist_first,2,"의뢰하기, 낚시하기","- 밭 옆에 캐릭터들이 있으면 밭에 물 주거나 씨앗 심거나 어떤 행동을 할 수가 없습니다.
- 동굴이 너무 어두워요",4,못 봤어요,,,"- 죽 만들 때 바가 너무 빨리 움직여서 자꾸 아쉬운 요리를 만들게 됩니다..
- 물고기나 수확할 때 처음 가지는 것만 가까이서 보여주고 2번 이상 갖게 될 때 에 다음 행동 하기가 불편해요!
- 채집 숲이랑 반딧불이 나오는 곳 겹치는 부분이 깜빡거려요
- 나무 없는 곳에서 도끼 휘말고는 확대가 안 되면 좋겠습니다! 그거 때문두르면 맨손으로 바뀌는 게 불편해요",beta_B,mist_first,2026-09-10 06:11:33.499000+00:00,beta_B,T07
B,mist_first,3,"올빼미 퀘스트, 작물 심기, 낚시하기",동굴이 너무 어두워서 돌이 안 보여요,5,봤어요 · 이동키,,,"작물 심고, 물주고, 밭 갈 때 자동으로 키가 바뀌면서 자동으로 물주고 밭 갈고 해요",beta_B,mist_first,2026-09-11 08:54:31.212000+00:00,beta_B,T07
B,mist_first,4,"올빼미 의뢰, 광석 캐기, 씨앗 심기",텃밭이나 동굴에서 뭐 캐고있는데 문 가까이 가면 나가져서 불편해요,4,봤어요 · 조종키 뭐로 움직이세요! 해서 그대로 했어요,,,,beta_B,mist_first,2026-09-12 14:48:44.710000+00:00,beta_B,T07
B,mist_first,5,"퀘스트 깨기, 정령들이랑 놀기, 바다낚시",아뇽,5,봤어요 · 방향키,,,퀘스트 하니까 재밌어요 맨날 맨날 퀘스트 있우면 좋겠어요,beta_B,mist_first,2026-09-13 09:12:31.556000+00:00,beta_B,T07
B,sea_first,1,올빼미랑 대화해서 목재 구해오고 집을 지었습니다,"좀 더 빨리 움직일 수 있는 옵션이 있었으면 좋겠습니다
동물의 숲에서 뛰는 기능처럼",3,봤어요 · 각 행동에 따른 적합한 도구 사용법을 따라했습니다,,,,beta_B,sea_first,2026-09-09 04:26:05.039000+00:00,beta_B,T08
B,sea_first,2,"1.주민 의뢰 들어주기 - 낚시 관련 의뢰 3번
2.방랑상인 의뢰 들어주기 2번
3. 올빼미 의뢰 들어주기 2번 (낚시, 요리)
4. 물고기 판매","어두워지니 낚시터가 안보여서 길을 헤맸다
무지개 물고기가 늦게 나와서 나올때까지 했다",3,봤어요 · 주민 의뢰를 시키는대로 했음,,,"1.작물 수확시 낫을 써야한다는 안내문구가 뜨면 좋을 것 같음
2.이건 어떻게 해야할지 모르겠는데 폰으로 조작시 계속 검색창이 떠서 불편함 DM으로 드리겠음",beta_B,sea_first,2026-09-10 04:38:55.860000+00:00,beta_B,T08
